name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description
iTrust Wellness Group,SC,Healthcare Provider,981,8/10/2023,Hacking/IT Incident,Email,No,
Madera County,CA,Health Plan,1146,8/9/2023,Unauthorized Access/Disclosure,Email,No,
PCC Pediatric EHR Solutions,VT,Business Associate,520,8/9/2023,Unauthorized Access/Disclosure,Email,Yes,
Premera Blue Cross,WA,Health Plan,33212,8/8/2023,Hacking/IT Incident,Network Server,Yes,
Redwood Coast Regional Center,CA,Healthcare Provider,1345,8/7/2023,Hacking/IT Incident,Email,No,
Radius Global Solutions,MN,Business Associate,600794,8/4/2023,Hacking/IT Incident,Network Server,Yes,
"Maximus, Inc.",VA,Business Associate,932,8/4/2023,Hacking/IT Incident,Network Server,Yes,
Indiana University Health,IN,Health Plan,21383,8/4/2023,Hacking/IT Incident,Network Server,Yes,
Capital Neurological Surgeons,CA,Healthcare Provider,1769,8/4/2023,Hacking/IT Incident,Email,No,
Brigham and Women's Hospital,MA,Healthcare Provider,987,8/4/2023,Unauthorized Access/Disclosure,Other,No,
Unum Group SACE,TN,Health Plan,531732,8/3/2023,Hacking/IT Incident,Network Server,No,
Self-insured group health plans sponsored by the City of Dallas,TX,Health Plan,30253,8/3/2023,Hacking/IT Incident,Network Server,No,
"Advanced Care Partners, LLC",GA,Healthcare Provider,518,8/3/2023,Unauthorized Access/Disclosure,Email,No,
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790,8/2/2023,Hacking/IT Incident,Email,No,
"Grane Supply, Inc.",PA,Healthcare Provider,798,8/1/2023,Unauthorized Access/Disclosure,Email,No,
"The Health Plan of West Virginia, Inc.",WV,Health Plan,1292,8/1/2023,Hacking/IT Incident,Network Server,No,
HCA Healthcare,TN,Business Associate,11270000,7/31/2023,Hacking/IT Incident,Other,Yes,
Johns Hopkins Health System Corporation,MD,Business Associate,2584,7/31/2023,Hacking/IT Incident,Network Server,Yes,
Howard County General Hospital,MD,Healthcare Provider,2975,7/31/2023,Hacking/IT Incident,Network Server,Yes,
Synergy Healthcare Services,GA,Business Associate,25772,7/31/2023,Hacking/IT Incident,Network Server,Yes,
UC Davis Health,CA,Healthcare Provider,3201,7/28/2023,Hacking/IT Incident,Email,No,
Baylor College of Medicine,TX,Healthcare Provider,504,7/28/2023,Hacking/IT Incident,Network Server,Yes,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,398319,7/28/2023,Hacking/IT Incident,Network Server,No,
Jefferson County Health Center,IA,Healthcare Provider,53827,7/28/2023,Hacking/IT Incident,Network Server,No,
The Chattanooga Heart Institute,TN,Healthcare Provider,170450,7/28/2023,Hacking/IT Incident,Network Server,No,
Allegheny County ,PA,Healthcare Provider,689686,7/28/2023,Hacking/IT Incident,Network Server,No,
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ",FL,Healthcare Provider,1313636,7/28/2023,Hacking/IT Incident,Network Server,No,
Centers for Medicare & Medicaid Services,MD,Health Plan,1362470,7/28/2023,Hacking/IT Incident,Network Server,Yes,
Gladden Farms Family Dentistry,AZ,Healthcare Provider,3085,7/27/2023,Hacking/IT Incident,Network Server,No,
Saint Francis Health System,OK,Healthcare Provider,18911,7/26/2023,Hacking/IT Incident,Network Server,No,
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636,7/26/2023,Hacking/IT Incident,Other,No,
"Life Management Center of Northwest Florida, Inc. ",FL,Healthcare Provider,19107,7/25/2023,Hacking/IT Incident,Network Server,No,
"Family Vision of Anderson, P.A.",SC,Healthcare Provider,62631,7/25/2023,Hacking/IT Incident,Network Server,No,
Bi-Bett Corporation,CA,Business Associate,4722,7/25/2023,Hacking/IT Incident,Email,Yes,
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,2688,7/25/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
Johns Hopkins Medicine,MD,Healthcare Provider,310405,7/25/2023,Hacking/IT Incident,Network Server,No,
UT Southwestern Medical Center,TX,Healthcare Provider,98437,7/24/2023,Hacking/IT Incident,Network Server,No,
Sutter Senior Care ,CA,Healthcare Provider,519,7/22/2023,Hacking/IT Incident,Network Server,Yes,
Paramedic Billing Services,IL,Healthcare Clearing House,501,7/21/2023,Hacking/IT Incident,Network Server,No,
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,224703,7/21/2023,Hacking/IT Incident,Network Server,No,
"Batesville Tool & Die, Inc.",IN,Health Plan,574,7/21/2023,Hacking/IT Incident,Network Server,No,
Pennsylvania Department of Human Services,PA,Healthcare Provider,16390,7/21/2023,Unauthorized Access/Disclosure,Other,No,
"New England Life Care, Inc.",ME,Healthcare Provider,51854,7/21/2023,Hacking/IT Incident,Network Server,No,
"Mindful Innovations, PLLC",NC,Healthcare Provider,1900,7/20/2023,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No,
Rite Aid Corporation ,PA,Healthcare Provider,24400,7/19/2023,Hacking/IT Incident,Network Server,No,
Physicians Insurance A Mutual Company ,WA,Business Associate,1852,7/19/2023,Hacking/IT Incident,Email,Yes,
"Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group",AZ,Healthcare Provider,6411,7/18/2023,Hacking/IT Incident,Network Server,No,
"Associated Pathologists, LLC dba PathGroup Health Plan",TN,Health Plan,2031,7/18/2023,Hacking/IT Incident,Network Server,Yes,
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,7/18/2023,Hacking/IT Incident,Network Server,No,
